case_id,condition,model,first_pass,judge_verdict,judge_reason,elapsed
case10_multi_turn,original,deepseek-v3.2,True,pass,"The response correctly identifies the main action (update), all entities (order_42, address, 5_Tianfu_Ave), constraints ",9.3
case10_multi_turn,shuffled,deepseek-v3.2,True,pass,模型正确识别了更新地址的主要操作、目标实体、所有约束条件（包括用户验证状态和订单状态不等于已发货）以及否定逻辑。,12.7
case10_multi_turn,skeleton,deepseek-v3.2,False,fail,"The model incorrectly interpreted the encoded instruction as a generic conditional trigger with entities 'efn', 'lpf', '",11.9
case10b_multi_turn,original,deepseek-v3.2,True,pass,"The response correctly identifies the action as updating user_88's phone field to 13800138000, accurately captures the c",8.2
case10b_multi_turn,shuffled,deepseek-v3.2,True,pass,"The model correctly identifies the UPDATE action, all entities (user_88, phone field, new value 13800138000), constraint",10.4
case10b_multi_turn,skeleton,deepseek-v3.2,False,fail,"The model response incorrectly interprets the encoded instruction, failing to map it to the original UPDATE intent and m",8.3
case10c_multi_turn,original,deepseek-v3.2,True,pass,模型正确识别了主要操作（更新发票金额）、所有实体（请求者、经理、invoice_55、金额字段、新值1299）、约束条件（经理权限验证且状态不等于已支付）以及业务逻辑顺序。,10.2
case10c_multi_turn,shuffled,deepseek-v3.2,True,pass,"The model correctly captures the main action (update invoice_55 amount to 1299), the negation constraint (status != paid",10.5
case10c_multi_turn,skeleton,deepseek-v3.2,False,fail,The model provided a generic structural analysis of the encoded format but failed to identify the specific semantic inte,11.6
case1_multi_constraint,original,deepseek-v3.2,True,pass,"The response correctly captures all semantic elements: the location constraint, time condition, and both actions (cancel",9.7
case1_multi_constraint,shuffled,deepseek-v3.2,False,fail,The model misinterprets the semantic structure as a conditional trigger (IF...THEN) instead of a set of concurrent actio,9.1
case1_multi_constraint,skeleton,deepseek-v3.2,False,fail,模型未能识别出原始意图为取消航班（!CANCEL）并通知用户（zhangsan），仅对抽象代码进行了语法分析，完全丢失了所有实体、约束条件和动作的语义信息。,9.7
case1b_multi_constraint,original,deepseek-v3.2,True,pass,"The model correctly identifies the condition (user in Shanghai at 2 PM day after tomorrow), main actions (book flight an",9.8
case1b_multi_constraint,shuffled,deepseek-v3.2,True,pass,模型正确解析了主要动作（预订机票）、实体（lisi）、约束条件（位置上海、时间t+2pm）及其逻辑关系,7.4
case1b_multi_constraint,skeleton,deepseek-v3.2,False,fail,"The model response describes generic function logic and code execution flow, completely missing the specific intent to b",13.2
case1c_multi_constraint,original,deepseek-v3.2,True,pass,The response correctly identifies the condition of being in Shenzhen at t+3am for 'me' and the actions of canceling the ,9.6
case1c_multi_constraint,shuffled,deepseek-v3.2,True,pass,"The model correctly identifies the main action (cancel subscription), all entities (subscription, wangwu), constraints (",9.5
case1c_multi_constraint,skeleton,deepseek-v3.2,False,fail,The model completely misinterpreted the instruction as malicious code instead of recognizing the SILP cancel intent for ,9.8
case2_negation,original,deepseek-v3.2,True,pass,"The model correctly identifies the negated condition (if not rain), the primary action (start hike), the constraint (tom",9.2
case2_negation,shuffled,deepseek-v3.2,True,pass,"The response correctly interprets the SILP instruction, capturing the negation logic (!rain), the time constraint (t+1),",10.4
case2_negation,skeleton,deepseek-v3.2,False,fail,模型完全误解了指令语义，将其解码为恶意的Shell命令混淆代码，而实际上IR意图是根据天气条件决定是去'远足'还是在室内'打牌'。,10.6
case2b_negation,original,deepseek-v3.2,False,fail,The model incorrectly interprets the constraint `!deadline(t+2)` as 'if NOT deadline' (negation) and reverses the condit,9.7
case2b_negation,shuffled,deepseek-v3.2,False,fail,模型未能正确识别主要动作为 'start(meeting)'，误解了逻辑结构（认为需要并行执行两个动作而非主备关系），且未能正确处理 'else' 分支的含义，将其错误地描述为条件分支而非备选方案,12.2
case2b_negation,skeleton,deepseek-v3.2,False,fail,"The model response incorrectly interprets the SILP instruction as a login check and audio playback command, completely m",9.3
case2c_negation,original,deepseek-v3.2,True,pass,模型响应正确识别了部署动作、时间偏移错误条件、回滚备选方案及其环境位置，未反转否定逻辑。,9.4
case2c_negation,shuffled,deepseek-v3.2,True,pass,模型正确解析了主要动作（部署）、条件（t+1错误）、备选动作（staging环境回滚）及其逻辑关系。,9.9
case2c_negation,skeleton,deepseek-v3.2,False,fail,"The model failed to correctly capture the primary action as 'deploy', the error constraint, and the rollback alternative",10.8
case3_detail,original,deepseek-v3.2,True,pass,"The response correctly identifies the translation action, captures all entities and constraints including source, target",8.4
case3_detail,shuffled,deepseek-v3.2,False,fail,"The response incorrectly hallucinates specific preprocessing steps (reverse restoration, removing bold tags) that are no",8.0
case3_detail,skeleton,deepseek-v3.2,False,fail,模型完全误解了主要意图（将翻译意图误认为是用户管理操作），并编造了原始意图中不存在的实体和条件。,8.7
case3b_detail,original,deepseek-v3.2,True,pass,"The response correctly identifies the main action as translation, accurately captures all entity arguments (source langu",6.3
case3b_detail,shuffled,deepseek-v3.2,True,pass,"The model response correctly identifies the main action (translate), all entities (src=en_formal, tgt=ja_polite, style=b",9.5
case3b_detail,skeleton,deepseek-v3.2,False,fail,模型未能正确识别指令的语义意图，错误地将其解析为发送消息而非翻译，且实体与约束完全不符。,15.1
case3c_detail,original,deepseek-v3.2,True,pass,模型响应完全正确捕获了原始语义意图，包括主要动作翻译以及所有实体参数（源语言、目标语言、风格）。,9.1
case3c_detail,shuffled,deepseek-v3.2,False,fail,"The model response introduces additional constraints and fallback actions not present in the original IR, such as降级为标准文学",8.0
case3c_detail,skeleton,deepseek-v3.2,False,fail,"The model completely misinterpreted the intent as a malicious cybersecurity payload involving session credential theft, ",13.1
case5_tool_branch,original,deepseek-v3.2,True,pass,模型正确理解了核心意图（切换到室内活动）、条件约束（天气大于降雨）以及相关的实体和逻辑。,12.4
case5_tool_branch,shuffled,deepseek-v3.2,False,fail,模型将条件 `weather>rain` (天气 > 雨) 错误解释为 `天气状况为下雨`，且在 '替代方案' 中添加了 IR 中不存在的户外活动逻辑。,9.4
case5_tool_branch,skeleton,deepseek-v3.2,True,pass,"The response correctly identifies the primary action, all entities/arguments, and the condition with the correct operato",9.5
case5b_tool_branch,original,deepseek-v3.2,False,fail,模型虚构了具体分支（如增量、全量、定时、自动清理模式）和处理动作，而原IR仅指定切换到backup_mode这一单一实体。,11.4
case5b_tool_branch,shuffled,deepseek-v3.2,True,pass,"The model correctly identifies the main action (switch to backup_mode), the constraint (disk usage > 90%), and the condi",10.2
case5b_tool_branch,skeleton,deepseek-v3.2,False,fail,模型未能正确识别具体实体和动作，将 'disk>90%' 和 'backup_mode' 误读为通用变量和操作符,12.9
case5c_tool_branch,original,deepseek-v3.2,True,pass,"The response correctly identifies the condition (error_rate > 5%), the action (switch to safe_mode), and all entities wi",7.1
case5c_tool_branch,shuffled,deepseek-v3.2,False,fail,The model response includes details about implicit alternatives and safety mode exit logic that are not present in the o,8.3
