case_id,frontend,status,errors
case10_multi_turn,code,PASS,
case10_multi_turn,json,PASS,
case1_multi_constraint,code,PASS,
case1_multi_constraint,json,PASS,
case2_negation,code,PASS,
case2_negation,json,PASS,
case3_detail,code,PASS,
case3_detail,json,PASS,
case5_tool_branch,code,PASS,
case5_tool_branch,json,PASS,
case6_nested_constraint,code,PASS,
case6_nested_constraint,json,PASS,
case7_parallel_action,code,PASS,
case7_parallel_action,json,PASS,
case8_conditional_branch,code,PASS,
case8_conditional_branch,json,PASS,
case9_tool_call,code,PASS,
case9_tool_call,json,PASS,
