case_id,frontend,model,verdict,category,subcategory,root_cause,detail
case1_multi_constraint,natural,deepseek-v3.2,fail,Semantic Misinterpretation,Entity Omission,Missing subject 'me',"Model dropped the constraint subject 'me' and erroneously claimed the payload was missing entity information (flight identifier)."
case6_nested_constraint,code,deepseek-v3.2,fail,Hallucination,Extraneous Alternatives,Fabricated else-branch logic,"Model invented alternative actions (downgrade budget, expand search area) not present in the IR, treating hard constraints as soft preferences."
case7_parallel_action,natural,deepseek-v3.2,fail,Semantic Misinterpretation,Constraint-as-Trigger,Misread timeout constraint,"Model interpreted 'timeout(30s)' as a trigger condition (wait 30s then act) rather than a temporal bound (complete within 30s)."
case8_conditional_branch,code,deepseek-v3.2,fail,Semantic Misinterpretation,Alternative-Logic,Escalate treated as unconditional,"Model misread the else-branch structure: treated escalate(manager) as an unconditional post-action rather than part of the alternative branch."
case8_conditional_branch,natural,deepseek-v3.2,fail,Semantic Misinterpretation,Entity Substitution,Ticket replaced by billing_department,"Model substituted the primary action target 'ticket' with 'billing_department', injecting a target not present in the IR."
case9_tool_call,code,deepseek-v3.2,fail,Semantic Misinterpretation,Constraint Role,Rating misread as user attribute,"Model interpreted 'rating>=4.5' as a user's personal score rather than a filter criterion for restaurant search results."
case1_multi_constraint,code,kimi-k2.6,error,Infrastructure,Model Timeout,API response timeout,"Model API timed out; no response received. No rule-judge fallback possible (empty response)."
case2_negation,natural,kimi-k2.6,error,Infrastructure,Judge Timeout,LLM judge timed out,"Judge model (glm-5.2) timed out during evaluation. Rule-judge fallback applied (fail: missing constraint 'true')."
case3_detail,code,kimi-k2.6,fail,Hallucination,Extraneous Conditions,Fabricated edge cases,"Model invented conditions not in IR (source text empty, style unmatched) and fabricated degradation alternatives (archaic_heavy → archaic)."
case5_tool_branch,code,kimi-k2.6,fail,Semantic Misinterpretation,Operator Misread,> interpreted as subset,"Model reinterpreted '>' operator as 'belongs to / is a subset of' instead of 'greater than', and added default outdoor-activity logic not in IR."
case8_conditional_branch,natural,kimi-k2.6,fail,Semantic Misinterpretation,Alternative-Logic,Sequential alternatives as parallel,"Model treated the alternatives list as parallel simultaneous actions rather than a fallback sequence, and hallucinated 'billing_department' as primary target."
case3_detail,natural,glm-5.2,fail,Semantic Misinterpretation,Role Confusion,src/tgt as parallel outputs,"Model misread the translation pipeline (src→tgt with style) as three independent style-transformations applied in parallel to the input."
case6_nested_constraint,json,glm-5.2,fail,Hallucination,Extraneous Suggestions,Fabricated follow-up operations,"Model added unsuggested operations (relax conditions, search nearby areas, confirm filters) beyond the IR's booking intent."
case7_parallel_action,code,glm-5.2,fail,Semantic Misinterpretation,Constraint-as-Trigger,Misread timeout constraint,"Model interpreted 'if timeout(30s)' as a conditional trigger (if timeout occurs, then act) rather than a temporal bound for the action sequence."
