test,verb,char_code,char_desc,tokenizer,clean_token_count,injected_token_count,delta,survived,injected_string_repr
zerowidth_inject,cancel,ZWSP,Zero-Width Space,gpt-4o,1,3,2,True,'can\u200bcel'
zerowidth_inject,cancel,ZWSP,Zero-Width Space,gpt-3.5,1,3,2,True,'can\u200bcel'
zerowidth_inject,cancel,ZWSP,Zero-Width Space,llama-2,1,3,2,True,'can\u200bcel'
zerowidth_inject,cancel,ZWSP,Zero-Width Space,qwen2.5,1,3,2,True,'can\u200bcel'
zerowidth_inject,cancel,ZWSP,Zero-Width Space,claude,1,3,2,True,'can\u200bcel'
zerowidth_inject,cancel,ZWSP,Zero-Width Space,gemini,1,3,2,True,'can\u200bcel'
zerowidth_inject,cancel,ZWNJ,Zero-Width Non-Joiner,gpt-4o,1,3,2,True,'can\u200ccel'
zerowidth_inject,cancel,ZWNJ,Zero-Width Non-Joiner,gpt-3.5,1,3,2,True,'can\u200ccel'
zerowidth_inject,cancel,ZWNJ,Zero-Width Non-Joiner,llama-2,1,3,2,True,'can\u200ccel'
zerowidth_inject,cancel,ZWNJ,Zero-Width Non-Joiner,qwen2.5,1,3,2,True,'can\u200ccel'
zerowidth_inject,cancel,ZWNJ,Zero-Width Non-Joiner,claude,1,4,3,True,'can\u200ccel'
zerowidth_inject,cancel,ZWNJ,Zero-Width Non-Joiner,gemini,1,3,2,True,'can\u200ccel'
zerowidth_inject,cancel,ZWJ,Zero-Width Joiner,gpt-4o,1,3,2,True,'can\u200dcel'
zerowidth_inject,cancel,ZWJ,Zero-Width Joiner,gpt-3.5,1,4,3,True,'can\u200dcel'
zerowidth_inject,cancel,ZWJ,Zero-Width Joiner,llama-2,1,3,2,True,'can\u200dcel'
zerowidth_inject,cancel,ZWJ,Zero-Width Joiner,qwen2.5,1,4,3,True,'can\u200dcel'
zerowidth_inject,cancel,ZWJ,Zero-Width Joiner,claude,1,4,3,True,'can\u200dcel'
zerowidth_inject,cancel,ZWJ,Zero-Width Joiner,gemini,1,3,2,True,'can\u200dcel'
zerowidth_inject,cancel,BOM,Byte Order Mark / ZWNBSP,gpt-4o,1,3,2,True,'can\ufeffcel'
zerowidth_inject,cancel,BOM,Byte Order Mark / ZWNBSP,gpt-3.5,1,3,2,True,'can\ufeffcel'
zerowidth_inject,cancel,BOM,Byte Order Mark / ZWNBSP,llama-2,1,3,2,True,'can\ufeffcel'
zerowidth_inject,cancel,BOM,Byte Order Mark / ZWNBSP,qwen2.5,1,3,2,True,'can\ufeffcel'
zerowidth_inject,cancel,BOM,Byte Order Mark / ZWNBSP,claude,1,3,2,True,'can\ufeffcel'
zerowidth_inject,cancel,BOM,Byte Order Mark / ZWNBSP,gemini,1,3,2,True,'can\ufeffcel'
zerowidth_inject,start,ZWSP,Zero-Width Space,gpt-4o,1,3,2,True,'st\u200bart'
