case_id,condition,first_pass,elapsed,judge
case10_multi_turn,original,True,7.0,dual
case10_multi_turn,shuffled,True,6.8,dual
case10_multi_turn,skeleton,False,9.0,dual
case10b_multi_turn,original,True,9.9,dual
case10b_multi_turn,shuffled,True,10.7,dual
case10b_multi_turn,skeleton,False,8.0,dual
case10c_multi_turn,original,True,7.3,dual
case10c_multi_turn,shuffled,True,11.2,dual
case10c_multi_turn,skeleton,False,9.5,dual
case1_multi_constraint,original,True,10.3,dual
case1_multi_constraint,shuffled,False,7.6,dual
case1_multi_constraint,skeleton,False,11.3,dual
case1b_multi_constraint,original,True,8.6,dual
case1b_multi_constraint,shuffled,True,22.1,dual
case1b_multi_constraint,skeleton,False,10.2,dual
case1c_multi_constraint,original,True,9.9,dual
case1c_multi_constraint,shuffled,True,5.4,dual
case1c_multi_constraint,skeleton,False,17.9,dual
case2_negation,original,True,12.0,dual
case2_negation,shuffled,False,33.7,dual
case2_negation,skeleton,False,17.5,dual
case2b_negation,original,True,8.7,dual
case2b_negation,shuffled,False,10.4,dual
case2b_negation,skeleton,False,14.2,dual
case2c_negation,original,True,13.1,dual
case2c_negation,shuffled,True,16.0,dual
case2c_negation,skeleton,False,18.5,dual
case3_detail,original,False,16.4,dual
case3_detail,shuffled,True,11.1,dual
case3_detail,skeleton,False,17.2,dual
case3b_detail,original,True,8.1,dual
case3b_detail,shuffled,True,10.7,dual
case3b_detail,skeleton,False,10.1,dual
case3c_detail,original,True,6.2,dual
case3c_detail,shuffled,True,5.7,dual
case3c_detail,skeleton,False,10.0,dual
case5_tool_branch,original,True,8.6,dual
case5_tool_branch,shuffled,True,15.7,dual
case5_tool_branch,skeleton,False,6.5,dual
case5b_tool_branch,original,True,7.1,dual
case5b_tool_branch,shuffled,True,28.3,dual
case5b_tool_branch,skeleton,False,10.4,dual
case5c_tool_branch,original,True,6.8,dual
case5c_tool_branch,shuffled,True,11.4,dual
case5c_tool_branch,skeleton,False,5.4,dual
case6_nested_constraint,original,True,8.0,dual
case6_nested_constraint,shuffled,True,8.4,dual
case6_nested_constraint,skeleton,False,2.3,dual
case6b_nested_constraint,original,False,8.0,dual
case6b_nested_constraint,shuffled,True,8.3,dual
case6b_nested_constraint,skeleton,False,9.4,dual
case6c_nested_constraint,original,True,10.4,dual
case6c_nested_constraint,shuffled,False,11.3,dual
case6c_nested_constraint,skeleton,False,6.7,dual
case7_parallel_action,original,True,10.8,dual
case7_parallel_action,shuffled,True,17.3,dual
case7_parallel_action,skeleton,False,20.3,dual
case7b_parallel_action,original,True,11.1,dual
case7b_parallel_action,shuffled,False,23.7,dual
case7b_parallel_action,skeleton,False,8.9,dual
case7c_parallel_action,original,False,12.6,dual
case7c_parallel_action,shuffled,False,7.5,dual
case7c_parallel_action,skeleton,False,12.8,dual
case8_conditional_branch,original,True,11.8,dual
case8_conditional_branch,shuffled,False,5.4,dual
case8_conditional_branch,skeleton,False,5.4,dual
case8b_conditional_branch,original,True,8.1,dual
case8b_conditional_branch,shuffled,False,14.3,dual
case8b_conditional_branch,skeleton,False,6.4,dual
case8c_conditional_branch,original,True,22.2,dual
case8c_conditional_branch,shuffled,False,10.1,dual
case8c_conditional_branch,skeleton,False,9.3,dual
case9_tool_call,original,True,11.9,dual
case9_tool_call,shuffled,False,8.8,dual
case9_tool_call,skeleton,False,14.9,dual
case9b_tool_call,original,True,7.6,dual
case9b_tool_call,shuffled,True,8.5,dual
case9b_tool_call,skeleton,False,11.2,dual
case9c_tool_call,original,True,13.7,dual
case9c_tool_call,shuffled,False,10.7,dual
case9c_tool_call,skeleton,False,9.1,dual
