case,frontend,string,tokenizer,token_count,is_single_token,tokens,is_unk
case10_multi_turn,code,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)",gpt-4o,30,False,"[""if"", "" auth"", ""(user"", "","", ""verified"", "")"", "" and"", "" status"", ""!="", ""sh"", ""ipped"", "":"", "" update"", ""(order"", ""_"", ""42"", "","", ""field"", ""="", ""address"", "",new"", ""_value"", ""="", ""5"", ""_T"", ""ian"", ""fu"", ""_A"", ""ve"", "")""]",False
case10_multi_turn,code,"if auth(user,verified) and status!=shipped: update(order_42,field=address,new_value=5_Tianfu_Ave)",gpt-3.5,30,False,"[""if"", "" auth"", ""(user"", "","", ""verified"", "")"", "" and"", "" status"", ""!="", ""sh"", ""ipped"", "":"", "" update"", ""(order"", ""_"", ""42"", "","", ""field"", ""="", ""address"", "",new"", ""_value"", ""="", ""5"", ""_T"", ""ian"", ""fu"", ""_A"", ""ve"", "")""]",False
case10_multi_turn,json,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}]}",gpt-4o,55,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""UPDATE"", ""\"",\"""", ""act"", ""\"":\"""", ""order"", ""_"", ""42"", ""\"",\"""", ""field"", ""\"":\"""", ""address"", ""\"",\"""", ""new"", ""_value"", ""\"":\"""", ""5"", ""_T"", ""ian"", ""fu"", ""_A"", ""ve"", ""\"",\"""", ""constraints"", ""\"":["", ""{\"""", ""type"", ""\"":\"""", ""auth"", ""\"",\"""", ""value"", ""\"":\"""", ""verified"", ""\"",\"""", ""subject"", ""\"":\"""", ""user"", ""\""},{\"""", ""type"", ""\"":\"""", ""status"", ""\"",\"""", ""value"", ""\"":\"""", ""sh"", ""ipped"", ""\"",\"""", ""operator"", ""\"":\"""", ""!=\"""", ""}"", ""]}""]",False
case10_multi_turn,json,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave"",""constraints"":[{""type"":""auth"",""value"":""verified"",""subject"":""user""},{""type"":""status"",""value"":""shipped"",""operator"":""!=""}]}",gpt-3.5,54,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""UPDATE"", ""\"",\"""", ""act"", ""\"":\"""", ""order"", ""_"", ""42"", ""\"",\"""", ""field"", ""\"":\"""", ""address"", ""\"",\"""", ""new"", ""_value"", ""\"":\"""", ""5"", ""_T"", ""ian"", ""fu"", ""_A"", ""ve"", ""\"",\"""", ""constraints"", ""\"":[{\"""", ""type"", ""\"":\"""", ""auth"", ""\"",\"""", ""value"", ""\"":\"""", ""verified"", ""\"",\"""", ""subject"", ""\"":\"""", ""user"", ""\""},{\"""", ""type"", ""\"":\"""", ""status"", ""\"",\"""", ""value"", ""\"":\"""", ""sh"", ""ipped"", ""\"",\"""", ""operator"", ""\"":\"""", ""!=\"""", ""}"", ""]}""]",False
case10_multi_turn,natural,"If auth is verified and status is shipped, update order_42, address, 5_Tianfu_Ave.",gpt-4o,24,False,"[""If"", "" auth"", "" is"", "" verified"", "" and"", "" status"", "" is"", "" shipped"", "","", "" update"", "" order"", ""_"", ""42"", "","", "" address"", "","", "" "", ""5"", ""_T"", ""ian"", ""fu"", ""_A"", ""ve"", "".""]",False
case10_multi_turn,natural,"If auth is verified and status is shipped, update order_42, address, 5_Tianfu_Ave.",gpt-3.5,24,False,"[""If"", "" auth"", "" is"", "" verified"", "" and"", "" status"", "" is"", "" shipped"", "","", "" update"", "" order"", ""_"", ""42"", "","", "" address"", "","", "" "", ""5"", ""_T"", ""ian"", ""fu"", ""_A"", ""ve"", "".""]",False
case1_multi_constraint,code,"if loc(me,Beijing,t+1am): cancel(flight); email(zhangsan)",gpt-4o,21,False,"[""if"", "" loc"", ""(me"", "","", ""Be"", ""ijing"", "",t"", ""+"", ""1"", ""am"", ""):"", "" cancel"", ""(f"", ""light"", "");"", "" email"", ""("", ""zh"", ""ang"", ""san"", "")""]",False
case1_multi_constraint,code,"if loc(me,Beijing,t+1am): cancel(flight); email(zhangsan)",gpt-3.5,20,False,"[""if"", "" loc"", ""(me"", "","", ""Be"", ""ijing"", "",t"", ""+"", ""1"", ""am"", ""):"", "" cancel"", ""(f"", ""light"", "");"", "" email"", ""(z"", ""hang"", ""san"", "")""]",False
case1_multi_constraint,json,"{""intent"":""!CANCEL"",""act"":""flight"",""action_email"":[""zhangsan""],""constraints"":[{""type"":""loc"",""value"":""Beijing"",""time"":""t+1am"",""subject"":""me""}]}",gpt-4o,43,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""C"", ""ANCEL"", ""\"",\"""", ""act"", ""\"":\"""", ""flight"", ""\"",\"""", ""action"", ""_email"", ""\"":[\"""", ""zh"", ""ang"", ""san"", ""\""],"", ""\"""", ""constraints"", ""\"":["", ""{\"""", ""type"", ""\"":\"""", ""loc"", ""\"",\"""", ""value"", ""\"":\"""", ""Be"", ""ijing"", ""\"",\"""", ""time"", ""\"":\"""", ""t"", ""+"", ""1"", ""am"", ""\"",\"""", ""subject"", ""\"":\"""", ""me"", ""\""}"", ""]}""]",False
case1_multi_constraint,json,"{""intent"":""!CANCEL"",""act"":""flight"",""action_email"":[""zhangsan""],""constraints"":[{""type"":""loc"",""value"":""Beijing"",""time"":""t+1am"",""subject"":""me""}]}",gpt-3.5,40,False,"[""{\"""", ""intent"", ""\"":\"""", ""!"", ""CANCEL"", ""\"",\"""", ""act"", ""\"":\"""", ""flight"", ""\"",\"""", ""action"", ""_email"", ""\"":[\"""", ""z"", ""hang"", ""san"", ""\""],\"""", ""constraints"", ""\"":[{\"""", ""type"", ""\"":\"""", ""loc"", ""\"",\"""", ""value"", ""\"":\"""", ""Be"", ""ijing"", ""\"",\"""", ""time"", ""\"":\"""", ""t"", ""+"", ""1"", ""am"", ""\"",\"""", ""subject"", ""\"":\"""", ""me"", ""\""}"", ""]}""]",False
case1_multi_constraint,natural,"If loc is Beijing at t+1am, cancel flight and notify zhangsan.",gpt-4o,18,False,"[""If"", "" loc"", "" is"", "" Beijing"", "" at"", "" t"", ""+"", ""1"", ""am"", "","", "" cancel"", "" flight"", "" and"", "" notify"", "" z"", ""hang"", ""san"", "".""]",False
case1_multi_constraint,natural,"If loc is Beijing at t+1am, cancel flight and notify zhangsan.",gpt-3.5,18,False,"[""If"", "" loc"", "" is"", "" Beijing"", "" at"", "" t"", ""+"", ""1"", ""am"", "","", "" cancel"", "" flight"", "" and"", "" notify"", "" z"", ""hang"", ""san"", "".""]",False
case2_negation,code,if !rain(t+1): start(hike) else: start(cards@indoor),gpt-4o,19,False,"[""if"", "" !"", ""rain"", ""(t"", ""+"", ""1"", ""):"", "" start"", ""(h"", ""ike"", "")"", "" else"", "":"", "" start"", ""(cards"", ""@"", ""ind"", ""oor"", "")""]",False
