case_id,variant,granularity,container,frontend,tokenizer,token_count,char_count,compiled
case10_multi_turn,coarse|nested,coarse,nested,code,gpt-4o,18,53,"update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,coarse|nested,coarse,nested,code,gpt-3.5,18,53,"update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,coarse|nested,coarse,nested,code,llama-2,24,53,"update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,coarse|nested,coarse,nested,code,qwen2.5,19,53,"update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,coarse|nested,coarse,nested,code,claude,23,53,"update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,coarse|nested,coarse,nested,code,gemini,22,53,"update(order_42,field=address,new_value=5_Tianfu_Ave)"
case10_multi_turn,coarse|nested,coarse,nested,json,gpt-4o,26,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|nested,coarse,nested,json,gpt-3.5,26,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|nested,coarse,nested,json,llama-2,30,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|nested,coarse,nested,json,qwen2.5,27,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|nested,coarse,nested,json,claude,29,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|nested,coarse,nested,json,gemini,28,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|nested,coarse,nested,natural,gpt-4o,15,39,"update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,coarse|nested,coarse,nested,natural,gpt-3.5,15,39,"update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,coarse|nested,coarse,nested,natural,llama-2,18,39,"update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,coarse|nested,coarse,nested,natural,qwen2.5,16,39,"update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,coarse|nested,coarse,nested,natural,claude,16,39,"update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,coarse|nested,coarse,nested,natural,gemini,16,39,"update order_42, address, 5_Tianfu_Ave."
case10_multi_turn,coarse|flat,coarse,flat,code,gpt-4o,26,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,code,gpt-3.5,26,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,code,llama-2,30,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,code,qwen2.5,27,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,code,claude,29,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
case10_multi_turn,coarse|flat,coarse,flat,code,gemini,28,82,"{""intent"":""!UPDATE"",""act"":""order_42"",""field"":""address"",""new_value"":""5_Tianfu_Ave""}"
