case_id,frontend,model,llm_verdict,rule_verdict,elapsed,retries,llm_reason,rule_reason
case10_multi_turn,code,deepseek-v3.2,pass,pass,9.91,0,"The model's response correctly captures the primary action (update), all entities (order_42, address, 5_Tianfu_Ave), con",Rule-based: all key entities and verbs found
case10_multi_turn,json,deepseek-v3.2,pass,pass,11.41,0,模型正确识别了更新操作、所有实体（目标对象、字段、新值）和所有约束条件（包括认证要求及订单状态不为'shipped'的否定逻辑），且行动顺序符合语义要求。,Rule-based: all key entities and verbs found
case10_multi_turn,llmlingua2,deepseek-v3.2,fail,fail,10.91,0,"The model misidentifies the target entity as 'order_5_Tianwu' instead of 'order_42', and incorrectly interprets the upda","missing entities: ['order_42', 'address', '5_Tianfu_Ave']"
case10_multi_turn,natural,deepseek-v3.2,pass,pass,7.78,0,"The response correctly captures all semantic elements: the update action, target entity order_42, field address, new val",Rule-based: all key entities and verbs found
case10_multi_turn,nl_json,deepseek-v3.2,fail,pass,9.22,0,The model fabricated 'address format validation' and specific error handling behaviors for alternatives that are not pre,Rule-based: all key entities and verbs found
case1_multi_constraint,code,deepseek-v3.2,pass,fail,7.19,0,模型正确捕获了所有动作、实体、约束条件、逻辑顺序及否定逻辑。,missing entities: ['zhangsan']
case1_multi_constraint,json,deepseek-v3.2,fail,pass,7.72,0,模型错误地将执行条件（如时间、地点）理解为了取消操作本身的约束条件，而不是定义待取消航班属性的约束条件。,Rule-based: all key entities and verbs found
case1_multi_constraint,llmlingua2,deepseek-v3.2,fail,fail,9.54,0,"The model misinterprets the main action as cancelling a notification to zhangsan, instead of cancelling a flight while e",missing entities: ['flight']
case1_multi_constraint,natural,deepseek-v3.2,pass,pass,11.30,0,"The response correctly identifies the main actions (cancel flight, notify zhangsan), the constraints (location Beijing a",Rule-based: all key entities and verbs found
case1_multi_constraint,nl_json,deepseek-v3.2,pass,pass,9.82,0,模型正确识别了所有关键语义要素，包括条件约束（位置为北京、时间为t+1am）、主要动作（取消航班）和实体（通知张三），未发现遗漏或错误。,Rule-based: all key entities and verbs found
case2_negation,code,deepseek-v3.2,pass,pass,6.51,0,"The model correctly identifies all actions, entities, constraints including negation logic, time bounds, and the alterna",Rule-based: all key entities and verbs found
case2_negation,json,deepseek-v3.2,fail,pass,7.39,0,模型错误地反转了否定约束逻辑，将'!rain'（不下雨）解析为'如果会下雨'，导致主行动的触发条件与IR完全相反。,Rule-based: all key entities and verbs found
case2_negation,llmlingua2,deepseek-v3.2,fail,pass,9.73,0,"The model reversed the negation logic, interpreting the condition as preventing the hike when it rains instead of starti",Rule-based: all key entities and verbs found
case2_negation,natural,deepseek-v3.2,pass,fail,7.70,0,"The response correctly identifies the main action 'hike', the condition '!rain' at 't+1', and the alternative action 'ca",main verb 'start' not found
case2_negation,nl_json,deepseek-v3.2,pass,pass,10.66,0,"The response correctly identifies the conditional logic based on t+1 rain status, the primary action of hiking if not ra",Rule-based: all key entities and verbs found
case3_detail,code,deepseek-v3.2,pass,pass,7.14,0,"The response correctly identifies the translation action and all entity parameters (source as reversed bold French, targ",Rule-based: all key entities and verbs found
case3_detail,json,deepseek-v3.2,fail,pass,6.78,0,模型响应中包含了原始意图（IR）中不存在的备选方案（alternatives）和具体的执行步骤，属于捏造内容，不符合语义等效要求。,Rule-based: all key entities and verbs found
case3_detail,llmlingua2,deepseek-v3.2,pass,fail,9.43,0,模型正确识别了主要动作（翻译/转换）、实体（源语言、目标风格为莎士比亚古风），并完整捕获了风格约束条件。,"missing entities: ['fr_rev_bold', 'archaic_heavy']"
case3_detail,natural,deepseek-v3.2,pass,pass,11.22,0,"The model correctly identifies the translation action, accurately interprets all three entities (source, target, and sty",Rule-based: all key entities and verbs found
case3_detail,nl_json,deepseek-v3.2,fail,pass,14.47,0,The model response correctly identifies the primary action and entities but fails by fabricating 'alternatives' scenario,Rule-based: all key entities and verbs found
case5_tool_branch,code,deepseek-v3.2,fail,pass,10.49,0,"The model incorrectly interprets the condition 'weather>rain' as 'weather worse than rain' instead of 'if NOT rain', and",Rule-based: all key entities and verbs found
case5_tool_branch,json,deepseek-v3.2,pass,pass,10.85,1,"The model correctly identified the main action as switching to indoor activity, accurately captured the constraint condi",Rule-based: all key entities and verbs found
case5_tool_branch,llmlingua2,deepseek-v3.2,pass,pass,8.66,0,模型正确识别了主要动作 'switch'、实体 'indoor' 和条件 'rain'，并且没有反转否定逻辑（尽管条件 '>' 在自然语言解释中未明确表达，但语义核心已捕捉）。,Rule-based: all key entities and verbs found
case5_tool_branch,natural,deepseek-v3.2,pass,pass,11.38,0,模型正确识别了主要动作（切换）、实体（室内活动）和约束条件（天气大于大雨），包括隐含的默认分支逻辑。,Rule-based: all key entities and verbs found
case5_tool_branch,nl_json,deepseek-v3.2,fail,pass,10.03,0,模型响应中包含的'alternatives'（备选方案'weather <= rain'）以及详细的'动作解释'和'技术实现要点'在原始意图中并不存在，属于模型额外臆造的内容。,Rule-based: all key entities and verbs found
case6_nested_constraint,code,deepseek-v3.2,pass,pass,13.71,0,"The model correctly identifies the main action (book hotel), all entities (city, checkin, nights), and constraints (budg",Rule-based: all key entities and verbs found
case6_nested_constraint,json,deepseek-v3.2,pass,pass,12.35,0,"The model's response correctly captures the main action (!BOOK), all entities (hotel, Shanghai, t+3, 2), and all constra",Rule-based: all key entities and verbs found
case6_nested_constraint,llmlingua2,deepseek-v3.2,fail,pass,8.04,0,"The model response fails to correctly identify the 'nights' entity (value: 2), which specifies the duration of the stay,",Rule-based: all key entities and verbs found
case6_nested_constraint,natural,deepseek-v3.2,pass,pass,8.78,0,"The response correctly captures all semantic elements including the main action (book hotel), entities (Shanghai, t+3, 2",Rule-based: all key entities and verbs found
case6_nested_constraint,nl_json,deepseek-v3.2,pass,pass,9.95,0,"The model correctly identifies all constraints (budget <= 500, rating >= 4.0, loc = downtown), main action (book hotel),",Rule-based: all key entities and verbs found
case7_parallel_action,code,deepseek-v3.2,pass,pass,25.45,0,模型正确识别了所有主要动作、实体、约束条件和执行顺序，包括超时条件30秒、数据获取、处理和邮件发送的序列,Rule-based: all key entities and verbs found
case7_parallel_action,json,deepseek-v3.2,pass,pass,9.38,0,"The response correctly identifies the primary fetch action, subsequent processing and emailing steps, and the 30-second ",Rule-based: all key entities and verbs found
case7_parallel_action,llmlingua2,deepseek-v3.2,fail,fail,9.83,0,The model response misinterprets 'notify' and 'report' as parallel or optional branch actions and incorrectly infers the,missing constraints: ['30s']
case7_parallel_action,natural,deepseek-v3.2,fail,pass,9.29,0,模型误解了约束条件的语义逻辑，将'超时限制'误解为'操作必须在此时间内完成'的触发条件，且在代码中错误地使用了判断语句 if operation_timeout == 30s，这与 IR 中的 timeout 定义不符。,Rule-based: all key entities and verbs found
case7_parallel_action,nl_json,deepseek-v3.2,pass,pass,10.33,0,"模型正确识别了主要动作（fetch data, process result, email report）、约束条件（timeout=30s）以及操作顺序，且未遗漏或误判任何实体或条件。",Rule-based: all key entities and verbs found
case8_conditional_branch,code,deepseek-v3.2,fail,pass,11.39,0,"The model misinterpreted the else-branch structure, treating route(manager) as a global unconditional action rather than",Rule-based: all key entities and verbs found
case8_conditional_branch,json,deepseek-v3.2,pass,pass,8.59,0,"The response correctly identifies the routing action, the specific constraints of high urgency and billing category, and",Rule-based: all key entities and verbs found
case8_conditional_branch,llmlingua2,deepseek-v3.2,fail,fail,8.68,0,模型未能正确识别备选方案的结构和顺序，错误地将技术经理合并到主要动作中，且未识别出 tech_support 和 manager 为两个独立的备选目标。,missing alternatives: ['tech_support']
case8_conditional_branch,natural,deepseek-v3.2,pass,pass,12.45,0,The model correctly identifies the primary action (route ticket) with conditions (urgency is high and category is billin,Rule-based: all key entities and verbs found
case8_conditional_branch,nl_json,deepseek-v3.2,fail,pass,11.85,0,The model incorrectly identified the target for the primary condition action and misinterpreted the logical operator bet,Rule-based: all key entities and verbs found
case9_tool_call,code,deepseek-v3.2,pass,pass,9.88,0,"The model correctly identifies the main action (search restaurants), all entities (italian query, Beijing location, open",Rule-based: all key entities and verbs found
case9_tool_call,json,deepseek-v3.2,fail,pass,217.28,0,"The model misinterprets the rating constraint as greater than 4.0 or complex ranges instead of the specified >= 4.5, hal",Rule-based: all key entities and verbs found
case9_tool_call,llmlingua2,deepseek-v3.2,fail,fail,9.20,0,"The model missed the 'open_now' filter, misinterpreted '4.5' as confidence instead of a rating constraint (>= 4.5), and ",missing entities: ['open_now']
case9_tool_call,natural,deepseek-v3.2,pass,pass,10.64,0,"The model correctly identifies the main action, all entities (restaurants, italian, Beijing, open_now), the constraint (",Rule-based: all key entities and verbs found
case9_tool_call,nl_json,deepseek-v3.2,fail,pass,7.18,0,"The response incorrectly reverses the logic of the conditional constraint, implying the rating check applies to the resu",Rule-based: all key entities and verbs found
case10_multi_turn,code,glm-5.2,pass,pass,8.02,0,模型正确识别了意图（更新订单地址）、所有实体（订单42、地址字段、新值）、约束条件（用户认证、状态非已发货）以及否定的逻辑（status != shipped），且完整描述了只有在条件满足时才执行操作。,Rule-based: all key entities and verbs found
case10_multi_turn,json,glm-5.2,pass,pass,6.58,0,"The response correctly identifies the update action on order_42, sets the address to 5_Tianfu_Ave, and accurately captur",Rule-based: all key entities and verbs found
case10_multi_turn,llmlingua2,glm-5.2,fail,fail,8.59,0,The model incorrectly identifies the entity as order ID '5_Tianhu' instead of 'order_42' and '5_Tianhu_Ave' as the new a,"missing entities: ['order_42', '5_Tianfu_Ave']"
case10_multi_turn,natural,glm-5.2,pass,pass,8.37,0,"The response correctly identifies the main action (UPDATE order_42), all entities (field: address, new_value: 5_Tianfu_A",Rule-based: all key entities and verbs found
case10_multi_turn,nl_json,glm-5.2,pass,pass,9.26,0,模型正确识别了所有核心意图、实体、约束条件和否定逻辑。,Rule-based: all key entities and verbs found
case1_multi_constraint,code,glm-5.2,pass,pass,9.52,0,模型正确识别了触发条件（位置、时间、主体）、主要动作（取消航班、发送邮件）及其对象，语义与 IR 完全一致。,Rule-based: all key entities and verbs found
case1_multi_constraint,json,glm-5.2,pass,pass,7.18,0,"The model's response correctly captures the full semantic intent including the cancel action, flight entity, email notif",Rule-based: all key entities and verbs found
