case_id,condition,first_pass,elapsed,judge
case10_multi_turn,original,True,9.3,dual
case10_multi_turn,shuffled,True,12.7,dual
case10_multi_turn,skeleton,False,11.9,dual
case10b_multi_turn,original,True,8.2,dual
case10b_multi_turn,shuffled,True,10.4,dual
case10b_multi_turn,skeleton,False,8.3,dual
case10c_multi_turn,original,True,10.2,dual
case10c_multi_turn,shuffled,True,10.5,dual
case10c_multi_turn,skeleton,False,11.6,dual
case1_multi_constraint,original,True,9.7,dual
case1_multi_constraint,shuffled,False,9.1,dual
case1_multi_constraint,skeleton,False,9.7,dual
case1b_multi_constraint,original,True,9.8,dual
case1b_multi_constraint,shuffled,True,7.4,dual
case1b_multi_constraint,skeleton,False,13.2,dual
case1c_multi_constraint,original,True,9.6,dual
case1c_multi_constraint,shuffled,True,9.5,dual
case1c_multi_constraint,skeleton,False,9.8,dual
case2_negation,original,True,9.2,dual
case2_negation,shuffled,True,10.4,dual
case2_negation,skeleton,False,10.6,dual
case2b_negation,original,False,9.7,dual
case2b_negation,shuffled,False,12.2,dual
case2b_negation,skeleton,False,9.3,dual
case2c_negation,original,True,9.4,dual
case2c_negation,shuffled,True,9.9,dual
case2c_negation,skeleton,False,10.8,dual
case3_detail,original,True,8.4,dual
case3_detail,shuffled,False,8.0,dual
case3_detail,skeleton,False,8.7,dual
case3b_detail,original,True,6.3,dual
case3b_detail,shuffled,True,9.5,dual
case3b_detail,skeleton,False,15.1,dual
case3c_detail,original,True,9.1,dual
case3c_detail,shuffled,False,8.0,dual
case3c_detail,skeleton,False,13.1,dual
case5_tool_branch,original,True,12.4,dual
case5_tool_branch,shuffled,False,9.4,dual
case5_tool_branch,skeleton,True,9.5,dual
case5b_tool_branch,original,False,11.4,dual
case5b_tool_branch,shuffled,True,10.2,dual
case5b_tool_branch,skeleton,False,12.9,dual
case5c_tool_branch,original,True,7.1,dual
case5c_tool_branch,shuffled,False,8.3,dual
case5c_tool_branch,skeleton,False,13.9,dual
case6_nested_constraint,original,True,8.5,dual
case6_nested_constraint,shuffled,False,10.1,dual
case6_nested_constraint,skeleton,False,12.0,dual
case6b_nested_constraint,original,False,11.0,dual
case6b_nested_constraint,shuffled,True,7.3,dual
case6b_nested_constraint,skeleton,False,10.7,dual
case6c_nested_constraint,original,True,12.3,dual
case6c_nested_constraint,shuffled,True,7.4,dual
case6c_nested_constraint,skeleton,False,14.4,dual
case7_parallel_action,original,True,9.7,dual
case7_parallel_action,shuffled,False,9.7,dual
case7_parallel_action,skeleton,False,13.1,dual
case7b_parallel_action,original,True,9.6,dual
case7b_parallel_action,shuffled,False,15.0,dual
case7b_parallel_action,skeleton,False,6.2,dual
case7c_parallel_action,original,True,9.0,dual
case7c_parallel_action,shuffled,False,9.0,dual
case7c_parallel_action,skeleton,False,15.1,dual
case8_conditional_branch,original,False,8.3,dual
case8_conditional_branch,shuffled,True,9.8,dual
case8_conditional_branch,skeleton,False,10.3,dual
case8b_conditional_branch,original,False,8.1,dual
case8b_conditional_branch,shuffled,False,9.2,dual
case8b_conditional_branch,skeleton,False,4.5,dual
case8c_conditional_branch,original,True,10.8,dual
case8c_conditional_branch,shuffled,False,11.3,dual
case8c_conditional_branch,skeleton,False,16.1,dual
case9_tool_call,original,True,7.6,dual
case9_tool_call,shuffled,False,12.0,dual
case9_tool_call,skeleton,False,13.5,dual
case9b_tool_call,original,True,10.2,dual
case9b_tool_call,shuffled,False,9.1,dual
case9b_tool_call,skeleton,False,14.1,dual
case9c_tool_call,original,True,15.9,dual
case9c_tool_call,shuffled,False,9.4,dual
case9c_tool_call,skeleton,False,19.0,dual
